"ID","NOMENCLATURAL_CODE","LOCALITY","SCIENTIFIC_NAME","COLLECTOR","ORDER","CATALOG_NUMBER","GENUS","EARLIEST_DATE_COLLECTED","CONTINENT","BASIS_OF_RECORD","INFRASPECIFIC_EPITHET","FAMILY","COUNTRY","KINGDOM","STATE_PROVINCE","MINIMUM_ELEVATION_IN_METERS","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","IDENTIFIED_BY","CLASS","COLLECTION_CODE","SPECIFIC_EPITHET","DECIMAL_LONGITUDE"
"4600","ICBN","Doganbey - Seferihisar. Near sea , 0m. N 38°06´25´´ O 26°51´03´´","Ballota acetabulosa (L.) Benth.","Markus Döring","Lamiales","1","Ballota","1999-06-18 00:00:00.0","Asia","PreservedSpecimen",,"Lamiaceae","TR","Plantae","Ïzmir","0","BGBM","Magnoliophyta","38.10695","Markus Döring",,"B","acetabulosa","26.85083"
"4601","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Achillea falcata L.","Markus Döring","Asterales","1035","Achillea","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","falcata","34.56800"
"4602","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Centaurea carduiformis var. carduiformis","Markus Döring","Asterales","1036","Centaurea","1999-07-30 00:00:00.0","Asia","PreservedSpecimen","carduiformis","Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","carduiformis","34.56800"
"4603","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Sanguisorba minor subsp. muricata (Spach) Briq.","Markus Döring","Rosales","1037","Sanguisorba","1999-07-30 00:00:00.0","Asia","PreservedSpecimen","muricata","Rosaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","minor","34.56800"
"4604","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Xeranthemum annuum L.","Markus Döring","Asterales","1038","Xeranthemum","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Asteraceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","annuum","34.56800"
"4605","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Astragalus haussknechtii Bunge","Markus Döring","Fabales","1039","Astragalus","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Fabaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","haussknechtii","34.56800"
"4606","ICBN","Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m","Corydalis erdelii Zucc.","Markus Döring","Papaverales","104","Corydalis","1999-06-21 00:00:00.0","Asia","PreservedSpecimen",,"Papaveraceae","TR","Plantae","Mugla","2180","BGBM","Magnoliophyta","37.07000","Markus Döring",,"B","erdelii","28.80000"
"4607","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Festuca valesiaca Schleicher ex Gaudin","Markus Döring","Cyperales","1040","Festuca","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","valesiaca","34.56800"
"4608","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m","Koeleria macrantha (Ledeb.) Schult.","Markus Döring","Cyperales","1041","Koeleria","1999-07-30 00:00:00.0","Asia","PreservedSpecimen",,"Poaceae","TR","Plantae","Nigde","2350","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","macrantha","34.56800"
"4609","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Onobrychis montana subsp. cadmea (Boiss.) P.W. Ball","Markus Döring","Fabales","1042","Onobrychis","1999-07-31 00:00:00.0","Asia","PreservedSpecimen","cadmea","Fabaceae","TR","Plantae","Nigde","2200","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","montana","34.56800"
"4610","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Gypsophila curvifolia Fenzl","Markus Döring","Caryophyllales","1043","Gypsophila","1999-07-31 00:00:00.0","Asia","PreservedSpecimen",,"Caryophyllaceae","TR","Plantae","Nigde","2200","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","curvifolia","34.56800"
"4611","ICBN","d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2200m","Plantago media L.","Markus Döring","Plantaginales","1044","Plantago","1999-07-31 00:00:00.0","Asia","PreservedSpecimen",,"Plantaginaceae","TR","Plantae","Nigde","2200","BGBM","Magnoliophyta","37.42000","Markus Döring",,"B","media","34.56800"
